#     lambda       flux     sys_error   FWHM   quality 
# A(Angstroms) erg/s/cm2/A  erg/s/cm2/A   A  1=ok,0=bad
   3245.9363   7.8960e+01   3.1584e+00   10.00   1.0000e+00
   3255.9387   9.0990e+01   3.6396e+00   10.00   1.0000e+00
   3265.9414   1.0155e+02   4.0620e+00   10.00   1.0000e+00
   3275.9438   9.8830e+01   3.9532e+00   10.00   1.0000e+00
   3285.9465   9.5210e+01   3.8084e+00   10.00   1.0000e+00
   3295.9490   1.1000e+02   4.4000e+00   10.00   1.0000e+00
   3305.9514   1.0535e+02   4.2140e+00   10.00   1.0000e+00
   3315.9541   1.0014e+02   4.0054e+00   10.00   1.0000e+00
   3325.9565   9.9070e+01   3.9628e+00   10.00   1.0000e+00
   3335.9592   9.5490e+01   3.8196e+00   10.00   1.0000e+00
   3345.9617   9.9390e+01   3.9756e+00   10.00   1.0000e+00
   3355.9644   9.7755e+01   3.9102e+00   10.00   1.0000e+00
   3365.9668   8.3960e+01   3.3584e+00   10.00   1.0000e+00
   3375.9695   8.7360e+01   3.4944e+00   10.00   1.0000e+00
   3385.9719   9.5600e+01   3.8240e+00   10.00   1.0000e+00
   3395.9744   9.9445e+01   3.9778e+00   10.00   1.0000e+00
   3405.9771   1.0430e+02   4.1720e+00   10.00   1.0000e+00
   3415.9795   9.5850e+01   3.8340e+00   10.00   1.0000e+00
   3425.9822   1.0305e+02   4.1220e+00   10.00   1.0000e+00
   3435.9846   9.8705e+01   3.9482e+00   10.00   1.0000e+00
   3445.9873   8.2690e+01   3.3076e+00   10.00   1.0000e+00
   3455.9897   9.7350e+01   3.8940e+00   10.00   1.0000e+00
   3465.9924   9.6075e+01   3.8430e+00   10.00   1.0000e+00
   3475.9949   9.3520e+01   3.7408e+00   10.00   1.0000e+00
   3485.9976   9.3150e+01   3.7260e+00   10.00   1.0000e+00
   3496.0000   9.2430e+01   3.6972e+00   10.00   1.0000e+00
   3506.0027   1.0875e+02   4.3500e+00   10.00   1.0000e+00
   3516.0054   1.0165e+02   4.0660e+00   10.00   1.0000e+00
   3526.0078   9.4240e+01   3.7696e+00   10.00   1.0000e+00
   3536.0105   1.0715e+02   4.2860e+00   10.00   1.0000e+00
   3546.0129   1.1505e+02   4.6020e+00   10.00   1.0000e+00
   3556.0156   1.0840e+02   4.3360e+00   10.00   1.0000e+00
   3566.0181   9.4270e+01   3.7708e+00   10.00   1.0000e+00
   3576.0208   8.2595e+01   3.3038e+00   10.00   1.0000e+00
   3586.0232   7.2110e+01   2.8844e+00   10.00   1.0000e+00
   3596.0259   1.0305e+02   4.1220e+00   10.00   1.0000e+00
   3606.0283   1.0050e+02   4.0200e+00   10.00   1.0000e+00
   3616.0310   9.1195e+01   3.6478e+00   10.00   1.0000e+00
   3626.0337   1.0355e+02   4.1420e+00   10.00   1.0000e+00
   3636.0361   1.0340e+02   4.1360e+00   10.00   1.0000e+00
   3646.0388   1.0510e+02   4.2040e+00   10.00   1.0000e+00
   3656.0413   1.1965e+02   4.7860e+00   10.00   1.0000e+00
   3666.0439   1.2790e+02   5.1160e+00   10.00   1.0000e+00
   3676.0466   1.2255e+02   4.9020e+00   10.00   1.0000e+00
   3686.0491   1.1435e+02   4.5740e+00   10.00   1.0000e+00
   3696.0518   1.2750e+02   5.1000e+00   10.00   1.0000e+00
   3706.0542   1.1855e+02   4.7420e+00   10.00   1.0000e+00
   3716.0569   1.2200e+02   4.8800e+00   10.00   1.0000e+00
   3726.0596   1.0965e+02   4.3860e+00   10.00   1.0000e+00
   3736.0620   9.5745e+01   3.8298e+00   10.00   1.0000e+00
   3746.0647   9.3685e+01   3.7474e+00   10.00   1.0000e+00
   3756.0671   1.1030e+02   4.4120e+00   10.00   1.0000e+00
   3766.0698   1.1280e+02   4.5120e+00   10.00   1.0000e+00
   3776.0725   1.3305e+02   5.3220e+00   10.00   1.0000e+00
   3786.0750   1.3755e+02   5.5020e+00   10.00   1.0000e+00
   3796.0776   1.1075e+02   4.4300e+00   10.00   1.0000e+00
   3806.0803   1.2455e+02   4.9820e+00   10.00   1.0000e+00
   3816.0828   1.1185e+02   4.4740e+00   10.00   1.0000e+00
   3826.0854   8.1950e+01   3.2780e+00   10.00   1.0000e+00
   3836.0881   7.1095e+01   2.8438e+00   10.00   1.0000e+00
   3846.0906   9.9320e+01   3.9728e+00   10.00   1.0000e+00
   3856.0933   1.0455e+02   4.1820e+00   10.00   1.0000e+00
   3866.0957   1.0430e+02   4.1720e+00   10.00   1.0000e+00
   3876.0984   1.0390e+02   4.1560e+00   10.00   1.0000e+00
   3886.1011   1.0195e+02   4.0780e+00   10.00   1.0000e+00
   3896.1035   1.2145e+02   4.8580e+00   10.00   1.0000e+00
   3906.1062   1.2895e+02   5.1580e+00   10.00   1.0000e+00
   3916.1089   1.3875e+02   5.5500e+00   10.00   1.0000e+00
   3926.1113   1.0570e+02   4.2280e+00   10.00   1.0000e+00
   3936.1140   6.0455e+01   2.4182e+00   10.00   1.0000e+00
   3946.1167   1.0630e+02   4.2520e+00   10.00   1.0000e+00
   3956.1194   1.3605e+02   5.4420e+00   10.00   1.0000e+00
   3966.1218   8.8405e+01   3.5362e+00   10.00   1.0000e+00
   3976.1245   9.5880e+01   3.8352e+00   10.00   1.0000e+00
   3986.1272   1.5765e+02   6.3060e+00   10.00   1.0000e+00
   3996.1296   1.7225e+02   6.8900e+00   10.00   1.0000e+00
   4006.1323   1.7420e+02   6.9680e+00   10.00   1.0000e+00
   4016.1350   1.8120e+02   7.2480e+00   10.00   1.0000e+00
   4026.1375   1.8255e+02   7.3020e+00   10.00   1.0000e+00
   4036.1401   1.7495e+02   6.9980e+00   10.00   1.0000e+00
   4046.1428   1.7380e+02   6.9520e+00   10.00   1.0000e+00
   4056.1455   1.7315e+02   6.9260e+00   10.00   1.0000e+00
   4066.1479   1.6510e+02   6.6040e+00   10.00   1.0000e+00
   4076.1506   1.6880e+02   6.7520e+00   10.00   1.0000e+00
   4086.1533   1.7995e+02   7.1980e+00   10.00   1.0000e+00
   4096.1558   1.7760e+02   7.1040e+00   10.00   1.0000e+00
   4106.1587   1.5040e+02   6.0160e+00   10.00   1.0000e+00
   4116.1611   1.8220e+02   7.2880e+00   10.00   1.0000e+00
   4126.1636   1.7940e+02   7.1760e+00   10.00   1.0000e+00
   4136.1665   1.7600e+02   7.0400e+00   10.00   1.0000e+00
   4146.1689   1.7410e+02   6.9640e+00   10.00   1.0000e+00
   4156.1714   1.7380e+02   6.9520e+00   10.00   1.0000e+00
   4166.1743   1.8470e+02   7.3880e+00   10.00   1.0000e+00
   4176.1768   1.6690e+02   6.6760e+00   10.00   1.0000e+00
   4186.1797   1.6880e+02   6.7520e+00   10.00   1.0000e+00
   4196.1821   1.7050e+02   6.8200e+00   10.00   1.0000e+00
   4206.1846   1.7620e+02   7.0480e+00   10.00   1.0000e+00
   4216.1875   1.8020e+02   7.2080e+00   10.00   1.0000e+00
   4226.1899   1.5860e+02   6.3440e+00   10.00   1.0000e+00
   4236.1924   1.7150e+02   6.8600e+00   10.00   1.0000e+00
   4246.1953   1.7720e+02   7.0880e+00   10.00   1.0000e+00
   4256.1978   1.6990e+02   6.7960e+00   10.00   1.0000e+00
   4266.2007   1.7020e+02   6.8080e+00   10.00   1.0000e+00
   4276.2031   1.5730e+02   6.2920e+00   10.00   1.0000e+00
   4286.2056   1.5910e+02   6.3640e+00   10.00   1.0000e+00
   4296.2085   1.4790e+02   5.9160e+00   10.00   1.0000e+00
   4306.2109   1.1380e+02   4.5520e+00   10.00   1.0000e+00
   4316.2134   1.6900e+02   6.7600e+00   10.00   1.0000e+00
   4326.2163   1.6500e+02   6.6000e+00   10.00   1.0000e+00
   4336.2188   1.7350e+02   6.9400e+00   10.00   1.0000e+00
   4346.2217   1.6740e+02   6.6960e+00   10.00   1.0000e+00
